#    x:			Analytic:		Numerical:		Epsilon Largest:		log(h)
    0.059988002          0.39113724               0.39113711                  -6.4772967                   -3.6990569
    0.060187962          0.39203372               0.39203359                  -6.4772967                   -3.6990569
    0.060387922          0.39292802               0.39292789                  -6.4772967                   -3.6990569
    0.060587882          0.39382013               0.39382000                  -6.4772967                   -3.6990569
    0.060787842          0.39471006               0.39470993                  -6.4772967                   -3.6990569
    0.060987802          0.39559782               0.39559769                  -6.4772967                   -3.6990569
    0.061187762          0.39648340               0.39648327                  -6.4772967                   -3.6990569
    0.061387722          0.39736681               0.39736668                  -6.4772967                   -3.6990569
    0.061587682          0.39824806               0.39824793                  -6.4772967                   -3.6990569
    0.061787642          0.39912715               0.39912701                  -6.4772967                   -3.6990569
    0.061987602          0.40000408               0.40000394                  -6.4772967                   -3.6990569
    0.062187562          0.40087886               0.40087873                  -6.4772967                   -3.6990569
    0.062387522          0.40175149               0.40175136                  -6.4772967                   -3.6990569
    0.062587483          0.40262199               0.40262185                  -6.4772967                   -3.6990569
    0.062787443          0.40349034               0.40349020                  -6.4772967                   -3.6990569
    0.062987403          0.40435656               0.40435642                  -6.4772967                   -3.6990569
    0.063187363          0.40522065               0.40522051                  -6.4772967                   -3.6990569
    0.063387323          0.40608261               0.40608248                  -6.4772967                   -3.6990569
    0.063587283          0.40694246               0.40694232                  -6.4772967                   -3.6990569
    0.063787243          0.40780018               0.40780005                  -6.4772967                   -3.6990569
    0.063987203          0.40865579               0.40865566                  -6.4772967                   -3.6990569
    0.064187163          0.40950930               0.40950916                  -6.4772967                   -3.6990569
    0.064387123          0.41036070               0.41036056                  -6.4772967                   -3.6990569
    0.064587083          0.41121000               0.41120986                  -6.4772967                   -3.6990569
    0.064787043          0.41205720               0.41205706                  -6.4772967                   -3.6990569
    0.064987003          0.41290231               0.41290218                  -6.4772967                   -3.6990569
    0.065186963          0.41374534               0.41374520                  -6.4772967                   -3.6990569
    0.065386923          0.41458628               0.41458614                  -6.4772967                   -3.6990569
    0.065586883          0.41542514               0.41542500                  -6.4772967                   -3.6990569
    0.065786843          0.41626193               0.41626179                  -6.4772967                   -3.6990569
    0.065986803          0.41709664               0.41709650                  -6.4772967                   -3.6990569
    0.066186763          0.41792929               0.41792915                  -6.4772967                   -3.6990569
    0.066386723          0.41875988               0.41875974                  -6.4772968                   -3.6990569
    0.066586683          0.41958841               0.41958827                  -6.4772968                   -3.6990569
    0.066786643          0.42041488               0.42041474                  -6.4772968                   -3.6990569
    0.066986603          0.42123930               0.42123916                  -6.4772968                   -3.6990569
    0.067186563          0.42206168               0.42206154                  -6.4772968                   -3.6990569
    0.067386523          0.42288201               0.42288187                  -6.4772968                   -3.6990569
    0.067586483          0.42370031               0.42370017                  -6.4772968                   -3.6990569
    0.067786443          0.42451657               0.42451643                  -6.4772968                   -3.6990569
    0.067986403          0.42533080               0.42533066                  -6.4772968                   -3.6990569
    0.068186363          0.42614301               0.42614286                  -6.4772968                   -3.6990569
    0.068386323          0.42695319               0.42695305                  -6.4772968                   -3.6990569
    0.068586283          0.42776136               0.42776121                  -6.4772968                   -3.6990569
    0.068786243          0.42856751               0.42856737                  -6.4772968                   -3.6990569
    0.068986203          0.42937165               0.42937151                  -6.4772968                   -3.6990569
    0.069186163          0.43017379               0.43017365                  -6.4772968                   -3.6990569
    0.069386123          0.43097392               0.43097378                  -6.4772968                   -3.6990569
    0.069586083          0.43177206               0.43177192                  -6.4772968                   -3.6990569
    0.069786043          0.43256820               0.43256806                  -6.4772968                   -3.6990569
    0.069986003          0.43336236               0.43336221                  -6.4772968                   -3.6990569
    0.070185963          0.43415453               0.43415438                  -6.4772968                   -3.6990569
    0.070385923          0.43494471               0.43494457                  -6.4772968                   -3.6990569
    0.070585883          0.43573292               0.43573277                  -6.4772968                   -3.6990569
    0.070785843          0.43651915               0.43651901                  -6.4772968                   -3.6990569
    0.070985803          0.43730342               0.43730327                  -6.4772968                   -3.6990569
    0.071185763          0.43808572               0.43808557                  -6.4772968                   -3.6990569
    0.071385723          0.43886605               0.43886591                  -6.4772968                   -3.6990569
    0.071585683          0.43964443               0.43964428                  -6.4772968                   -3.6990569
    0.071785643          0.44042085               0.44042071                  -6.4772968                   -3.6990569
    0.071985603          0.44119533               0.44119518                  -6.4772968                   -3.6990569
    0.072185563          0.44196785               0.44196771                  -6.4772968                   -3.6990569
    0.072385523          0.44273844               0.44273829                  -6.4772968                   -3.6990569
    0.072585483          0.44350708               0.44350693                  -6.4772968                   -3.6990569
    0.072785443          0.44427379               0.44427364                  -6.4772968                   -3.6990569
    0.072985403          0.44503857               0.44503842                  -6.4772968                   -3.6990569
    0.073185363          0.44580142               0.44580127                  -6.4772968                   -3.6990569
    0.073385323          0.44656235               0.44656220                  -6.4772968                   -3.6990569
    0.073585283          0.44732136               0.44732121                  -6.4772968                   -3.6990569
    0.073785243          0.44807845               0.44807831                  -6.4772968                   -3.6990569
    0.073985203          0.44883364               0.44883349                  -6.4772968                   -3.6990569
    0.074185163          0.44958691               0.44958676                  -6.4772968                   -3.6990569
    0.074385123          0.45033828               0.45033813                  -6.4772968                   -3.6990569
    0.074585083          0.45108775               0.45108760                  -6.4772968                   -3.6990569
    0.074785043          0.45183532               0.45183517                  -6.4772968                   -3.6990569
    0.074985003          0.45258100               0.45258085                  -6.4772968                   -3.6990569
    0.075184963          0.45332479               0.45332464                  -6.4772968                   -3.6990569
    0.075384923          0.45406670               0.45406655                  -6.4772968                   -3.6990569
    0.075584883          0.45480672               0.45480657                  -6.4772968                   -3.6990569
    0.075784843          0.45554487               0.45554472                  -6.4772968                   -3.6990569
    0.075984803          0.45628114               0.45628099                  -6.4772968                   -3.6990569
    0.076184763          0.45701555               0.45701539                  -6.4772968                   -3.6990569
