#Time(Yr)                X_Me                Y_Me                Z_Me           R_Mercury                X_Ve                Y_Ve                Z_Ve             R_Venus                X_Ea                Y_Ea                Z_Ea             R_Earth                X_Ma                Y_Ma                Z_Ma              R_Mars                X_Ju                Y_Ju                Z_Ju           R_Jupiter                X_Sa                Y_Sa                Z_Sa            R_Saturn                X_Ur                Y_Ur                Z_Ur            R_Uranus                X_Ne                Y_Ne                Z_Ne           R_Neptune                X_Pu                Y_Pu                Z_Pu             R_Pluto
1.95000          -0.0619918           -0.486828          -0.0342154            0.491950            0.529156           -0.505421          -0.0375952            0.732714           -0.684144            0.732747         8.20258E-05             1.00248            0.535911             1.41980           0.0166831             1.51766            -1.47373             4.96609           0.0123548             5.18016             2.32536             8.73937           -0.244355             9.04675             16.3914            -11.4485           -0.254931             19.9953             18.8121            -23.4925           0.0502766             30.0965            -7.41672            -29.0940             5.26146             30.4820
2.00000            0.349722           -0.348014          -0.0605774            0.497081            0.722537           -0.188813          -0.0444145            0.748120           -0.879768            0.479882         0.000136157             1.00214            0.300534             1.51178           0.0243899             1.54155            -1.60703             4.93114           0.0154818             5.18641             2.22135             8.76461           -0.240650             9.04493             16.4319            -11.3929           -0.255249             19.9968             18.8564            -23.4564           0.0485111             30.0960            -7.35982            -29.1175             5.24759             30.4883
2.05000            0.480413           0.0704524          -0.0382614            0.487057            0.745605            0.172305          -0.0407646            0.766340           -0.989118            0.179963         0.000176938             1.00536           0.0570574             1.56303           0.0314396             1.56439            -1.73918             4.89270           0.0185978             5.19265             2.11705             8.78868           -0.236911             9.04317             16.4722            -11.3372           -0.255565             19.9982             18.9006            -23.4201           0.0467453             30.0955            -7.30290            -29.1410             5.23370             30.4946
2.10000            0.200736            0.428742           0.0167376            0.473703            0.605161            0.495639          -0.0281752            0.782734            -1.00240           -0.137432         0.000200537             1.01177           -0.187893             1.57400           0.0376788             1.58563            -1.87012             4.85081           0.0217006             5.19886             2.01246             8.81157           -0.233142             9.04147             16.5122            -11.2813           -0.255876             19.9997             18.9448            -23.3837           0.0449794             30.0950            -7.24595            -29.1643             5.21980             30.5009
2.15000           -0.265325            0.388949           0.0561956            0.474170            0.340169            0.716972         -0.00978701            0.793637           -0.920159           -0.441727         0.000205034             1.02069           -0.428195             1.54601           0.0429851             1.60479            -1.99974             4.80551           0.0247882             5.20505             1.90760             8.83329           -0.229341             9.03983             16.5521            -11.2253           -0.256185             20.0011             18.9889            -23.3473           0.0432134             30.0945            -7.18897            -29.1875             5.20588             30.5073
2.20000           -0.485761          -0.0109120           0.0436300            0.487838          0.00801283            0.796750           0.0105335            0.796860           -0.752517           -0.705019         0.000190509             1.03118           -0.658274             1.48111           0.0472648             1.62149            -2.12795             4.75686           0.0278583             5.21120             1.80249             8.85382           -0.225509             9.03825             16.5917            -11.1691           -0.256491             20.0025             19.0329            -23.3108           0.0414472             30.0940            -7.13197            -29.2107             5.19194             30.5137
2.25000           -0.293249           -0.401494         -0.00602578            0.497221           -0.325709            0.721124           0.0287994            0.791792           -0.517141           -0.904849         0.000158846             1.04220           -0.873116             1.38192           0.0504503             1.63541            -2.25469             4.70488           0.0309090             5.21732             1.69713             8.87316           -0.221647             9.03673             16.6312            -11.1129           -0.256793             20.0039             19.0769            -23.2742           0.0396808             30.0935            -7.07494            -29.2337             5.17798             30.5201
2.30000            0.134705           -0.469721          -0.0508435            0.491292           -0.594674            0.502126           0.0413393            0.779408           -0.236678            -1.02579         0.000113342             1.05274            -1.06826             1.25156           0.0524973             1.64631            -2.37985             4.64964           0.0339382             5.22341             1.59155             8.89132           -0.217755             9.03527             16.6704            -11.0564           -0.257092             20.0054             19.1208            -23.2375           0.0379143             30.0930            -7.01789            -29.2566             5.16400             30.5265
2.35000            0.450542           -0.146996          -0.0533440            0.476909           -0.739680            0.178464           0.0452620            0.762250           0.0638053            -1.05995         5.82595E-05             1.06186            -1.23978             1.09352           0.0533831             1.65399            -2.50337             4.59117           0.0369438             5.22945             1.48574             8.90829           -0.213834             9.03387             16.7095            -10.9999           -0.257388             20.0067             19.1646            -23.2007           0.0361477             30.0925            -6.96082            -29.2795             5.15001             30.5330
2.40000            0.356429            0.309483         -0.00730669            0.472096           -0.719852           -0.184964           0.0390981            0.744263            0.359028            -1.00673        -1.61327E-06             1.06883            -1.38425            0.911639           0.0531045             1.65833            -2.62516             4.52954           0.0399239             5.23544             1.37974             8.92406           -0.209884             9.03253             16.7483            -10.9432           -0.257681             20.0081             19.2083            -23.1639           0.0343809             30.0920            -6.90372            -29.3022             5.13600             30.5394
