#Rho             Ground(Ar)             1st(Ar)             2nd(Ar)          Ground(Ja)             1st(Ja)             2nd(Ja)
1.45709            0.573320            0.148430            0.425129            0.573320            0.148430            0.425129
1.46707            0.564484            0.160151            0.426114            0.564484            0.160151            0.426114
1.47705            0.555623            0.172157            0.426349            0.555623            0.172156            0.426349
1.48703            0.546741            0.184425            0.425836            0.546741            0.184425            0.425836
1.49701            0.537846            0.196935            0.424578            0.537846            0.196935            0.424578
1.50699            0.528943            0.209662            0.422582            0.528943            0.209662            0.422582
1.51697            0.520038            0.222583            0.419859            0.520038            0.222584            0.419859
1.52695            0.511137            0.235677            0.416419            0.511137            0.235677            0.416419
1.53693            0.502245            0.248920            0.412278            0.502245            0.248920            0.412278
1.54691            0.493368            0.262289            0.407452            0.493368            0.262289            0.407452
1.55689            0.484512            0.275760            0.401960            0.484512            0.275760            0.401960
1.56687            0.475680            0.289312            0.395823            0.475680            0.289312            0.395823
1.57685            0.466878            0.302920            0.389066            0.466878            0.302920            0.389066
1.58683            0.458111            0.316562            0.381713            0.458111            0.316562            0.381713
1.59681            0.449384            0.330217            0.373792            0.449384            0.330216            0.373792
1.60679            0.440701            0.343860            0.365331            0.440701            0.343860            0.365331
1.61677            0.432066            0.357472            0.356362            0.432066            0.357472            0.356362
1.62675            0.423484            0.371029            0.346917            0.423484            0.371029            0.346917
1.63673            0.414958            0.384511            0.337029            0.414958            0.384511            0.337029
1.64671            0.406493            0.397897            0.326735            0.406493            0.397897            0.326735
1.65669            0.398092            0.411166            0.316069            0.398092            0.411166            0.316069
1.66667            0.389758            0.424299            0.305069            0.389758            0.424299            0.305069
1.67665            0.381496            0.437275            0.293773            0.381496            0.437275            0.293773
1.68663            0.373308            0.450077            0.282221            0.373308            0.450077            0.282221
1.69661            0.365197            0.462686            0.270451            0.365197            0.462686            0.270451
1.70659            0.357167            0.475085            0.258504            0.357167            0.475085            0.258504
1.71657            0.349220            0.487255            0.246420            0.349220            0.487255            0.246420
1.72655            0.341358            0.499181            0.234240            0.341358            0.499181            0.234240
1.73653            0.333585            0.510847            0.222004            0.333585            0.510847            0.222004
1.74651            0.325902            0.522237            0.209753            0.325902            0.522237            0.209753
1.75649            0.318312            0.533338            0.197528            0.318312            0.533338            0.197528
1.76647            0.310817            0.544135            0.185367            0.310817            0.544135            0.185367
1.77645            0.303418            0.554616            0.173311            0.303418            0.554616            0.173311
1.78643            0.296118            0.564768            0.161400            0.296118            0.564768            0.161400
1.79641            0.288918            0.574580            0.149670            0.288918            0.574580            0.149670
1.80639            0.281820            0.584041            0.138160            0.281820            0.584041            0.138160
1.81637            0.274824            0.593142            0.126907            0.274824            0.593142            0.126907
1.82635            0.267932            0.601872            0.115945            0.267932            0.601872            0.115945
1.83633            0.261146            0.610223            0.105309            0.261146            0.610223            0.105309
1.84631            0.254466            0.618188           0.0950333            0.254466            0.618188           0.0950333
1.85629            0.247892            0.625759           0.0851486            0.247892            0.625759           0.0851486
