#Rho             Ground(Ar)             1st(Ar)             2nd(Ar)          Ground(Ja)             1st(Ja)             2nd(Ja)
1.34663          0.00724713            0.234836             1.20843          0.00724713          0.00724713             1.20843
1.35162          0.00683512            0.225445             1.19053          0.00683512          0.00683512             1.19053
1.35661          0.00644472            0.216349             1.17215          0.00644472          0.00644472             1.17215
1.36160          0.00607492            0.207542             1.15332          0.00607493          0.00607493             1.15332
1.36658          0.00572474            0.199019             1.13409          0.00572474          0.00572474             1.13409
1.37157          0.00539324            0.190775             1.11449          0.00539323          0.00539323             1.11449
1.37656          0.00507951            0.182805             1.09456          0.00507951          0.00507951             1.09456
1.38155          0.00478269            0.175103             1.07433          0.00478269          0.00478269             1.07433
1.38653          0.00450196            0.167663             1.05385          0.00450196          0.00450196             1.05385
1.39152          0.00423653            0.160481             1.03314          0.00423653          0.00423653             1.03314
1.39651          0.00398564            0.153550             1.01224          0.00398564          0.00398564             1.01224
1.40150          0.00374855            0.146865            0.991186          0.00374855          0.00374855            0.991186
1.40648          0.00352459            0.140419            0.970008          0.00352460          0.00352460            0.970008
1.41147          0.00331309            0.134208            0.948737          0.00331309          0.00331309            0.948737
1.41646          0.00311341            0.128225            0.927405          0.00311341          0.00311341            0.927405
1.42145          0.00292496            0.122464            0.906040          0.00292496          0.00292496            0.906040
1.42643          0.00274714            0.116919            0.884671          0.00274714          0.00274714            0.884671
1.43142          0.00257942            0.111586            0.863326          0.00257942          0.00257942            0.863326
1.43641          0.00242126            0.106458            0.842031          0.00242126          0.00242126            0.842031
1.44140          0.00227217            0.101528            0.820810          0.00227217          0.00227217            0.820810
1.44638          0.00213167           0.0967929            0.799689          0.00213167          0.00213167            0.799689
1.45137          0.00199930           0.0922452            0.778690          0.00199930          0.00199930            0.778690
1.45636          0.00187463           0.0878799            0.757835          0.00187463          0.00187463            0.757835
1.46135          0.00175725           0.0836913            0.737145          0.00175725          0.00175725            0.737145
1.46633          0.00164676           0.0796741            0.716639          0.00164676          0.00164676            0.716639
1.47132          0.00154279           0.0758228            0.696337          0.00154279          0.00154279            0.696337
1.47631          0.00144498           0.0721321            0.676254          0.00144498          0.00144498            0.676254
1.48130          0.00135300           0.0685968            0.656408          0.00135300          0.00135300            0.656408
1.48628          0.00126652           0.0652117            0.636814          0.00126652          0.00126652            0.636814
1.49127          0.00118524           0.0619718            0.617485          0.00118524          0.00118524            0.617485
1.49626          0.00110886           0.0588721            0.598436          0.00110886          0.00110886            0.598436
1.50125          0.00103712           0.0559078            0.579677          0.00103712          0.00103712            0.579677
1.50623         0.000969755           0.0530741            0.561221         0.000969755         0.000969755            0.561221
1.51122         0.000906511           0.0503663            0.543077         0.000906510         0.000906510            0.543077
1.51621         0.000847156           0.0477798            0.525253         0.000847155         0.000847155            0.525253
1.52120         0.000791467           0.0453103            0.507759         0.000791466         0.000791466            0.507759
1.52618         0.000739232           0.0429533            0.490602         0.000739232         0.000739232            0.490602
1.53117         0.000690253           0.0407047            0.473787         0.000690249         0.000690249            0.473787
1.53616         0.000644339           0.0385602            0.457320         0.000644338         0.000644338            0.457320
1.54115         0.000601310           0.0365159            0.441206         0.000601312         0.000601312            0.441206
1.54613         0.000560999           0.0345678            0.425449         0.000560997         0.000560997            0.425449
1.55112         0.000523243           0.0327122            0.410051         0.000523245         0.000523245            0.410051
1.55611         0.000487891           0.0309452            0.395015         0.000487892         0.000487892            0.395015
1.56110         0.000454800           0.0292635            0.380343         0.000454800         0.000454800            0.380343
1.56608         0.000423835           0.0276633            0.366035         0.000423836         0.000423836            0.366035
1.57107         0.000394866           0.0261415            0.352092         0.000394867         0.000394867            0.352092
1.57606         0.000367773           0.0246946            0.338513         0.000367772         0.000367772            0.338513
1.58105         0.000342442           0.0233195            0.325297         0.000342441         0.000342441            0.325297
1.58603         0.000318765           0.0220132            0.312444         0.000318765         0.000318765            0.312444
1.59102         0.000296640           0.0207727            0.299950         0.000296641         0.000296641            0.299950
1.59601         0.000275972           0.0195950            0.287814         0.000275973         0.000275973            0.287814
1.60100         0.000256671           0.0184775            0.276033         0.000256671         0.000256671            0.276033
1.60599         0.000238650           0.0174175            0.264603         0.000238649         0.000238649            0.264603
1.61097         0.000221831           0.0164124            0.253520         0.000221831         0.000221831            0.253520
1.61596         0.000206137           0.0154596            0.242781         0.000206137         0.000206137            0.242781
1.62095         0.000191498           0.0145568            0.232380         0.000191498         0.000191498            0.232380
1.62594         0.000177846           0.0137018            0.222314         0.000177845         0.000177845            0.222314
1.63092         0.000165118           0.0128921            0.212576         0.000165118         0.000165118            0.212576
1.63591         0.000153256           0.0121259            0.203163         0.000153255         0.000153255            0.203163
1.64090         0.000142203           0.0114009            0.194067         0.000142203         0.000142203            0.194067
1.64589         0.000131908           0.0107152            0.185284         0.000131908         0.000131908            0.185284
1.65087         0.000122320           0.0100669            0.176807         0.000122321         0.000122321            0.176807
1.65586         0.000113395          0.00945421            0.168630         0.000113394         0.000113394            0.168630
1.66085         0.000105088          0.00887536            0.160748         0.000105089         0.000105089            0.160748
1.66584         9.73599E-05          0.00832869            0.153153         9.73605E-05         9.73605E-05            0.153153
1.67082         9.01712E-05          0.00781260            0.145839         9.01717E-05         9.01717E-05            0.145839
1.67581         8.34865E-05          0.00732555            0.138799         8.34860E-05         8.34860E-05            0.138799
1.68080         7.72723E-05          0.00686607            0.132027         7.72720E-05         7.72720E-05            0.132027
1.68579         7.14971E-05          0.00643275            0.125517         7.14966E-05         7.14966E-05            0.125517
1.69077         6.61315E-05          0.00602426            0.119260         6.61310E-05         6.61310E-05            0.119260
1.69576         6.11477E-05          0.00563931            0.113252         6.11482E-05         6.11482E-05            0.113252
1.70075         5.65201E-05          0.00527667            0.107484         5.65203E-05         5.65203E-05            0.107484
1.70574         5.22242E-05          0.00493518            0.101950         5.22239E-05         5.22239E-05            0.101950
1.71072         4.82376E-05          0.00461371           0.0966436         4.82374E-05         4.82374E-05           0.0966436
1.71571         4.45390E-05          0.00431120           0.0915579         4.45392E-05         4.45392E-05           0.0915579
1.72070         4.11085E-05          0.00402663           0.0866863         4.11093E-05         4.11093E-05           0.0866863
1.72569         3.79277E-05          0.00375904           0.0820220         3.79277E-05         3.79277E-05           0.0820220
1.73067         3.49792E-05          0.00350751           0.0775587         3.49795E-05         3.49795E-05           0.0775587
1.73566         3.22469E-05          0.00327115           0.0732899         3.22467E-05         3.22467E-05           0.0732899
1.74065         2.97156E-05          0.00304912           0.0692093         2.97158E-05         2.97158E-05           0.0692092
1.74564         2.73712E-05          0.00284065           0.0653104         2.73713E-05         2.73713E-05           0.0653104
1.75062         2.52006E-05          0.00264496           0.0615873         2.52007E-05         2.52007E-05           0.0615873
1.75561         2.31914E-05          0.00246135           0.0580337         2.31911E-05         2.31911E-05           0.0580337
1.76060         2.13322E-05          0.00228913           0.0546438         2.13320E-05         2.13320E-05           0.0546438
1.76559         1.96123E-05          0.00212765           0.0514117         1.96118E-05         1.96118E-05           0.0514117
1.77057         1.80218E-05          0.00197630           0.0483317         1.80221E-05         1.80221E-05           0.0483317
1.77556         1.65512E-05          0.00183450           0.0453982         1.65510E-05         1.65510E-05           0.0453982
1.78055         1.51921E-05          0.00170169           0.0426057         1.51921E-05         1.51921E-05           0.0426057
1.78554         1.39363E-05          0.00157736           0.0399489         1.39361E-05         1.39361E-05           0.0399489
1.79052         1.27764E-05          0.00146100           0.0374226         1.27768E-05         1.27768E-05           0.0374226
1.79551         1.17053E-05          0.00135215           0.0350217         1.17053E-05         1.17053E-05           0.0350217
1.80050         1.07165E-05          0.00125036           0.0327412         1.07167E-05         1.07167E-05           0.0327412
1.80549         9.80410E-06          0.00115522           0.0305763         9.80427E-06         9.80427E-06           0.0305763
1.81047         8.96236E-06          0.00106632           0.0285225         8.96231E-06         8.96231E-06           0.0285225
1.81546         8.18608E-06         0.000983298           0.0265751         8.18580E-06         8.18580E-06           0.0265751
1.82045         7.47042E-06         0.000905789           0.0247298         7.47036E-06         7.47036E-06           0.0247297
1.82544         6.81088E-06         0.000833464           0.0229823         6.81101E-06         6.81101E-06           0.0229823
1.83042         6.20327E-06         0.000766006           0.0213285         6.20313E-06         6.20313E-06           0.0213285
